READ,7UHKB6nQrzM,1201640170.310649,3
READ,hoh9qkkq4nY,1201640175.916120,30
READ,5K3p001FXd0,1201640176.898718,60
READ,iVPsXzSuXUc,1201640177.484596,3
READ,2z2mrHirPzg,1201640179.582849,35
READ,9fuyROfjcME,1201640180.359937,649
READ,McJjnpL61Os,1201640182.893683,36
READ,nyfY98PZkSQ,1201640187.244842,2
READ,EzSstcvLmYM,1201640188.288656,66
READ,vczS1Szwec4,1201640190.928047,1471
READ,wC_yeH5Viiw,1201640192.467512,11
READ,ehvrkKwCTqA,1201640196.006965,578
READ,Q-NzGvZ7QjU,1201640197.741483,3
READ,zKvVO_nfRBM,1201640199.286719,69
READ,ulBDAI4Z268,1201640208.767285,11
READ,7Ri0khzm5gA,1201640212.496093,3
READ,I19NMbaA9ZM,1201640216.487668,11
READ,32mIigPzS0Y,1201640217.416667,11
READ,f4vHhjhh_os,1201640220.051313,259
READ,Q5im0Ssyyus,1201640222.679739,2
READ,COcczatkNP4,1201640229.381603,2
READ,DiYXRrNiAXA,1201640229.601974,676
READ,gQ2W-yeHtXU,1201640230.103099,132
READ,V1U5vRfvARM,1201640231.996376,2
READ,fhrnIUCJgA0,1201640233.268110,3
READ,beHSh19FJo8,1201640237.241258,9
READ,beHSh19FJo8,1201640239.018014,9
READ,beHSh19FJo8,1201640240.671854,9
READ,beHSh19FJo8,1201640243.380454,9
READ,qOqFt6NuiEE,1201640249.132322,396
READ,beHSh19FJo8,1201640249.775024,9
READ,M4P5nMLKklk,1201640250.814276,3
READ,L1aovurbd-g,1201640251.044301,799
READ,beHSh19FJo8,1201640257.809326,9
READ,bzYEfz_PKkg,1201640258.837268,846
READ,bJZesEIG8Uk,1201640259.204062,2
READ,_U9BSpdDH_c,1201640263.016043,2
READ,ehjItE8csBc,1201640265.453113,11
READ,oZj_G-woZU0,1201640268.844305,2
READ,opce8AT77Q8,1201640269.231778,147
READ,8zz-8WgeXbc,1201640275.983213,2
READ,b5uYCMK5OPw,1201640276.982471,2
READ,NOllTHaW-4k,1201640278.317657,258
READ,0_15G_tIl38,1201640278.486595,35
READ,cksewjmh8hM,1201640279.019604,27
READ,bzYEfz_PKkg,1201640279.313488,846
READ,yAjRUvI4N3w,1201640280.290824,258
READ,1eTvHe-B_pQ,1201640280.888226,11
READ,ofwTKW_cpRQ,1201640283.113967,3
READ,glzkWmJgCgY,1201640283.611963,2
READ,s5_xT3HsaLU,1201640283.747686,154
READ,opce8AT77Q8,1201640286.172139,147
READ,Zlfwu6bXhrM,1201640289.621491,11
READ,JkPsdcEIupY,1201640291.292152,5
READ,EFlXkn9ZSFU,1201640291.398026,249
READ,P9OKpcLnQas,1201640295.084041,3
READ,N5lN96dgt_Y,1201640295.730723,3
READ,wViubDpJojw,1201640297.290729,11
READ,Zlfwu6bXhrM,1201640297.736676,11
READ,i2spZ-NDfS4,1201640299.436893,2
READ,e-Pwkb7bjyI,1201640300.000553,205
READ,cfA96DdH5Zw,1201640314.416180,11
READ,8qC8KpO3MQM,1201640321.486421,398
READ,Kwb576O8DeE,1201640329.115157,87
READ,UWVQcpqd9A8,1201640330.427636,742
READ,53qBKpuXoGM,1201640331.241210,283
READ,gQCgfvbn3TQ,1201640334.566129,2
READ,jHZEOweeoaE,1201640336.089279,11
READ,fR4lIy0GoVM,1201640337.415473,303
READ,e-Pwkb7bjyI,1201640341.165081,205
READ,3RtFgo2-NWk,1201640341.833979,11
READ,5bobskjQwWI,1201640345.668798,3
READ,nMJUJxrlbL0,1201640346.136465,110
READ,2x8D_AjWErI,1201640348.357560,11
READ,hV4znbHbfng,1201640348.581464,14
READ,uKPC2GmFpZs,1201640354.186751,21
READ,WShY1ObPvhQ,1201640356.565945,3
READ,DelJrP3P7tA,1201640356.663298,428
READ,647vIZu18iQ,1201640358.583355,2
READ,VlCzAIQkVh4,1201640361.454271,3
READ,F8mZGDFDceU,1201640364.617282,2
READ,FEcPnsgP0ok,1201640365.464704,32
READ,WqqqL_il2aY,1201640367.027685,2
READ,KKHiUfS8I2g,1201640368.711897,2
